区分,セクション,設定項目,キー/値・識別子,候補値 / 型,説明,ファイル/場所,例
現行設定,A.トークン/ルーティング,トークン→キャラ/IPの紐づけ,"token → {character, ip}",文字列→オブジェクト,NFCタグのトークンから表示IPとキャラクターを決定,token-map.json,"{""abc123"":{""character"":""alice"",""ip"":""animeA""}}"
現行設定,A.トークン/ルーティング,起動時クエリパラメータ名,token,文字列,URLの ?token=XXXX を読み取り起動を制御,index.html / main.js,?token=abc123
現行設定,A.トークン/ルーティング,起動ロジック,"startApp(character, ip)",関数,トークンが有効な場合にアプリを開始,main.js,"startApp('alice','animeA')"
現行設定,B.キャラ定義,キャラ設定ファイルの場所,characters/{ip}/{character}.json,ファイルパス,IP/キャラごとの表情とセリフ定義を格納,/characters/animeA/alice.json,-
現行設定,B.キャラ定義,表情マッピング,expressions[timeSlotA],オブジェクト,時間帯A→画像ファイル名の対応,characters/{ip}/{character}.json,"{""morning"":""alice_morning.png""}"
現行設定,B.キャラ定義,セリフ：時間帯Aキー,timeSlotA,列挙,midnight/early_morning/morning/noon/afternoon/evening,characters/{ip}/{character}.json,timeSlotA:morning
現行設定,B.キャラ定義,セリフ：体感温度カテゴリ,feelingCategory,列挙,veryhot/hot/warm/cool/cold/verycold,characters/{ip}/{character}.json,feelingCategory:warm
現行設定,B.キャラ定義,セリフ：曜日キー,weekday,列挙,monday〜sunday,characters/{ip}/{character}.json,weekday:monday
現行設定,C.画像アセット,キャラ画像配置,img/{ip}/...png,ファイルパス,expressionsで指定したPNGを読み込む,/img/animeA/alice_morning.png,-
現行設定,C.画像アセット,背景画像命名規則,bg_{timeSlotB}_{weather}.png,ファイル名規則,時間帯B×天気で背景を切替,/img/{ip}/bg_daytime_sunny.png,bg_sunset_rainy.png など
現行設定,C.画像アセット,時間帯Bキー,timeSlotB,列挙,before_sunrise/daytime/sunset/night,main.js,-
現行設定,C.画像アセット,天気キー,weather,列挙,sunny/cloudy/rainy/snowy,main.js,-
現行設定,D.音声,音声ファイル配置,voice/{ip}/{character}/{slot}.wav,ファイルパス,時間帯Aのslot名でwavを再生。なければdefault.wavにフォールバック,/voice/animeA/alice/morning.wav,/voice/animeA/alice/default.wav
現行設定,D.音声,音声フォーマット優先,format,列挙,wav優先（必要に応じてmp3も可）,main.js,wav → mp3（コメント解除で切替）
現行設定,D.音声,時間帯別名エイリアス,timeSlotAlias,オブジェクト,early_morning→morning、midnight→night など別名解決,main.js,{'early_morning':'morning'}
現行設定,E.UI,温度表示要素ID,#temp,DOM要素,右上バッジで温度を表示,index.html / CSS,<div id='temp'>--℃</div>
現行設定,E.UI,日付表示要素ID,#date,DOM要素,日付を表示,index.html / CSS,<div id='date'>2025/08/18</div>
現行設定,E.UI,セリフ表示要素ID,#line,DOM要素,セリフバルーン,index.html / CSS,<div id='line'>おはよう！</div>
現行設定,E.UI,タップ再生対象,"#character-cover, #line, #background, #character, #temp",DOM要素,タップ/クリックでボイス再生,main.js,-
現行設定,E.UI,長押しメニュー抑止,contextmenu/gesture 禁止,フラグ,スマホ長押しの既定動作を抑止,index.html(末尾スクリプト),-
現行設定,E.UI,開発者ツール抑止/右クリック禁止,devtools/rclick 禁止,フラグ,必要時のみ有効化（コメントアウト）,index.html(コメント),-
現行設定,F.環境,天気APIキー,apiKey,文字列,OpenWeatherのAPIキーを指定,main.js,apiKey='YOUR_KEY'
現行設定,F.環境,位置情報の使用,navigator.geolocation,API,座標取得に失敗した場合はエラー表示,main.js,-
現行設定,F.環境,拒否画面テンプレート,denied.html,HTML,認可失敗時の差替用（現状は未接続）,/denied.html,-
現行設定,G.ロジック,時間帯Aの時刻範囲,timeSlotA hours,数値→列挙,0–5:midnight / 6–8:early_morning / 9–11:morning / 12–14:noon / 15–17:afternoon / 18–23:evening,main.js,-
現行設定,G.ロジック,時間帯Bの判定,sunrise/sunset ±1h,ルール,日の出・日の入り±1hでbefore_sunrise/sunsetを決定,main.js,-
現行設定,G.ロジック,天気の正規化,weather normalize,ルール,OpenWeather表現をsunny/cloudy/rainy/snowyの4分類へ正規化,main.js,-
現行設定,G.ロジック,体感温度カテゴリ閾値,feelsLike thresholds,数値,verycold<7 / cold≥7 / cool≥15 / warm≥22 / hot≥30 / veryhot≥35,main.js,-
現行設定,G.ロジック,曜日キー,weekday,列挙,monday〜sunday,characters/{ip}/{character}.json,-
追加提案,テーマ,ブランドカラー,--brand-color など,CSS変数,IPごとに色テーマを切替,ip-config.json（新設想定）,--brand-color:#FF6699
追加提案,テーマ,フォント/ロゴ,fontFamily/logoPath,文字列,IP別のフォント・ロゴ指定,ip-config.json（新設想定）,font:'Noto Sans JP'
